id,title,description,status,priority,type,assignee,labels,estimate_minutes,parent_id,acceptance,design,notes,project,created_at,updated_at,error_log
cortex-zdt,"EPIC: Stingray Autonomous Code Health Auditor","Periodic Temporal workflow (every 12h) that examines the codebase itself — god objects, tech debt, stale docs, dependency rot, coverage gaps, coupling, OSS bolt-on opportunities. High severity auto-files as P2 beads + notification. Medium/low stored for planning triage. Skips if no commits since last run. Full design: docs/architecture/STINGRAY_DESIGN.md",open,3,epic,"",[],0,"","","","",chum,2026-02-21T00:50:32Z,2026-02-21T00:50:32Z,""
chum-zdt-1,"Stingray: Schema and Store Methods","Create the SQLite schema and store methods for Stingray runs and findings.

Following docs/architecture/STINGRAY_DESIGN.md:
- Tables: stingray_runs, stingray_findings
- Methods: RecordRun, RecordFinding, GetRecentFindings, GetTrendingFindings
- Files: internal/store/stingray.go, internal/store/schema.go",completed,2,task,"",[],60,cortex-zdt,"stingray_runs and stingray_findings tables are created on startup. Store methods have unit tests.","Follow schema provided in STINGRAY_DESIGN.md. Make sure to use standard CHUM sqlite patterns.","",chum,2026-02-21T01:23:45Z,"2026-02-22 13:18:46",""
chum-zdt-2,"Stingray: Metrics Gathering Activity","Implement the GatherMetricsActivity for Stingray.

This runs subprocesses (go vet, golangci-lint, go test coverage, outmoded deps, grep TODOs) and collects raw file metrics.",closed,2,task,"",[],90,cortex-zdt,"GatherMetricsActivity successfully runs all required subprocesses and returns a structured metrics payload.","Create internal/temporal/stingray_activities.go. Ensure all subprocess calls have timeouts and capture stdout/err safely. Do not use LLMs here.","",chum,2026-02-21T01:23:45Z,"2026-02-26 02:35:30.222485504 +0000 UTC",""
chum-zdt-3,"Stingray: Code Analyzer and Deduplication","Implement AnalyzeCodeHealthActivity and DeduplicateActivity.

- AnalyzeCodeHealthActivity: Feed gathered metrics into a premium LLM to detect god objects, tech debt, coverage gaps, circular deps, doc drift, etc.
- DeduplicateActivity: Filter out findings that were already recorded in the SQLite DB or filed as open beads.",ready,2,task,"",[],90,cortex-zdt,"Analyzer correctly types findings into severities. Deduplicator correctly filters out duplicate findings.","Use the premium tier model for analysis. Findings must be strongly typed (StingrayFinding struct). Deduplicator queries the Store methods created in chum-zdt-1.","[remora] After chum-e1b4bb completed: When implementing `AnalyzeCodeHealthActivity` and `DeduplicateActivity`, include the same post-`runAgentWithFailover` sentinel handling used in the updated activity files so dispatch outcomes record `failure_category=infrastructure_dead` consistently.",chum,2026-02-21T01:23:45Z,"2026-02-26 03:24:36.650338225 +0000 UTC","Attempt 1 execute error: activity error (type: ExecuteActivity, scheduledEventID: 50, startedEventID: 51, identity: ): activity Heartbeat timeout (type: Heartbeat)
---
Attempt 2 DoD failed: Command failed: GOFLAGS=-buildvcs=false golangci-lint run --timeout=5m --allow-parallel-runners --new-from-rev=HEAD~1 (exit 1)
---
Triage rescope (attempt 2): This is the same repeated environment/tooling failure across attempts (`golangci-lint` context loading: `no go files to analyze`), while tests pass and implementation evidence is present. It is not a fixable code defect in this task scope."
chum-zdt-4,"Stingray: Workflow and Filing","Implement StingrayWorkflow, FileBacklogItemsActivity, and RecordStingrayRunActivity.

- Orchestrate the Gather -> Analyze -> Deduplicate pipeline.
- File high-severity findings as P2 beads in the DAG.
- Record the run and low/medium findings using the store methods.",ready,2,task,"",[],90,cortex-zdt,"StingrayWorkflow executes end-to-end. High severity findings automatically create issues in the DAG.","Create internal/temporal/workflow_stingray.go. FileBacklogItemsActivity should use the DAG client directly.","[remora] After chum-e1b4bb completed: When implementing Stingray activities (especially any `runAgentWithFailover` call paths), add the same sentinel-error branch to record `failure_category = infrastructure_dead` in dispatch outcomes for consistency with existing temporal activities.",chum,2026-02-21T01:23:45Z,"2026-02-26 02:33:25.612519209 +0000 UTC",""
chum-zdt-5,"Stingray: Config and Cron Registration","Wire the Stingray workflow into CHUM startup.

- Add `[stingray]` config section to chum.toml and internal/config types.
- Register the StingrayWorkflow on a Temporal Schedule (cron) in cmd/chum/main.go.",ready,2,task,"",[],45,cortex-zdt,"Stingray configuration is loaded on boot. A Temporal Schedule for Stingray is created successfully alongside the dispatcher.","Follow the StrategicGroom schedule registration pattern in main.go, but tie it to the `stingray.schedule` config.","[remora] After chum-9b2a9d completed: Scope remains fully open (no `[stingray]` config section and no Stingray schedule registration yet). The completed watchdog task touched `internal/config/types.go`, `internal/config/defaults.go`, `internal/config/validate.go`, and `internal/config/config_test.go`, so implement Stingray config/validation/defaults against the new baseline and expect possible merge conflicts in those files.",chum,2026-02-21T01:23:45Z,"2026-02-26 02:11:34.326091119 +0000 UTC",""
chum-td01,"Strip all tmux dead code from codebase","The Docker dispatcher migration replaced tmux, but tmux config, types, and dispatch logic remain in 8 files:
- internal/dispatch/backend.go (backend type constant/fallback)
- internal/dispatch/dispatch.go (tmux session dispatch path)
- internal/config/types.go (TmuxConfig struct)
- internal/config/defaults.go (default tmux values)
- internal/config/validate.go (tmux validation rules)
- internal/config/config_test.go (tmux test fixtures)
- internal/chief/chief.go (tmux session queries)
- internal/store/store_test.go (tmux in test context)

Also remove the [dispatch.tmux] section from chum.toml.",completed,1,task,"","[""tech-debt"",""refactor""]",60,"","- All tmux references removed from Go source files and config
- No import of tmux-related code remains
- go build ./... succeeds
- go test ./... passes
- golangci-lint run passes on changed files","","",chum,"2026-02-21 04:10:23","2026-02-21 04:10:23",""
chum-td02,"Delete legacy internal/learner/ package","PROJECT_STRUCTURE.md documents internal/learner/ as ""Legacy learner (migrated to temporal/learner_activities.go)"" but the package still exists with 10.7KB of code and 12.6KB of tests.

Verify nothing imports internal/learner/ then delete the package entirely. If imports exist, redirect them to temporal/learner_activities.go.",completed,1,task,"","[""tech-debt"",""dead-code""]",30,"","- internal/learner/ directory deleted
- No remaining imports of internal/learner anywhere in codebase
- go build ./... succeeds
- go test ./... passes
- PROJECT_STRUCTURE.md updated to remove legacy learner reference","","",chum,"2026-02-21 04:10:23","2026-02-21 04:10:23",""
chum-td03,"Remove deprecated PickProvider from ratelimit.go","internal/dispatch/ratelimit.go:199 has an explicit ""// DEPRECATED: Use PickAndReserveProvider instead."" comment. Find all callers of the deprecated function, migrate them to PickAndReserveProvider, then delete the deprecated function.",completed,1,task,"","[""tech-debt"",""dead-code""]",30,"","- Deprecated PickProvider function removed from ratelimit.go
- All callers migrated to PickAndReserveProvider
- go build ./... succeeds
- go test ./... passes
- No remaining references to the old function name","","",chum,"2026-02-21 04:10:23","2026-02-21 04:10:23",""
chum-td04,"Regenerate PROJECT_STRUCTURE.md from actual file tree","PROJECT_STRUCTURE.md has significant doc drift:
- References internal/beads/ which does not exist
- Lists configs/ entries that do not match reality (says: chum-learner-example.toml, trial-chum.toml, slo-thresholds.json; actual: chum-interactive.toml, chum.example.toml, chum.runner.toml)
- Stingray files (stingray_*.go) not listed under internal/temporal/
- No mention of internal/cost/ package

Regenerate to match the actual directory structure.",completed,2,task,"","[""docs"",""chore""]",45,"","- PROJECT_STRUCTURE.md accurately reflects current directory tree
- All packages listed with correct file names
- Stingray files listed under internal/temporal/
- internal/cost/ documented
- configs/ entries match actual files
- internal/beads/ reference removed","","",chum,"2026-02-21 04:10:23","2026-02-22 13:09:57",""
